GROSS SQUARE FEET	SALE PRICE
9999.00	7900000.00
9960.00	4420290.00
9960.00	10.00
9920.00	0.00
9920.00	0.00
9916.00	0.00
9915.00	7050000.00
9913.00	8000000.00
9905.00	2295000.00
9900.00	4650000.00
9890.00	51740000.00
9880.00	6000000.00
9869.00	9250000.00
9865.00	10.00
9855.00	11650000.00
9855.00	11650000.00
9790.00	4550000.00
9780.00	26500000.00
9767.00	6675000.00
9765.00	1989844.00
9765.00	16500000.00
9750.00	158822.00
9750.00	6000000.00
9750.00	7500000.00
9750.00	7500000.00
9745.00	6700000.00
9738.00	10000000.00
9735.00	0.00
9700.00	6995000.00
9700.00	3450000.00
9660.00	0.00
9655.00	0.00
9655.00	0.00
9645.00	5700000.00
9620.00	0.00
9620.00	0.00
9600.00	0.00
9595.00	8455851.00
9540.00	5400000.00
9540.00	10450000.00
9530.00	932011.00
9530.00	1770822.00
9523.00	2965000.00
9500.00	0.00
9490.00	0.00
9485.00	5800000.00
9462.00	0.00
9440.00	16666667.00
9433.00	5100000.00
9410.00	436642.00
9390.00	12988352.00
9390.00	7000000.00
9352.00	10375000.00
9345.00	27500000.00
9344.00	14500000.00
9339.00	31500000.00
9302.00	17500000.00
9300.00	6800000.00
9295.00	0.00
9295.00	5882074.00
9295.00	8937500.00
9293.00	8525000.00
9285.00	2609632.00
9270.00	0.00
9265.00	0.00
9257.00	0.00
9249.00	5150000.00
9240.00	16666667.00
9214.00	1225000.00
9190.00	2600000.00
9190.00	11200800.00
9180.00	0.00
9157.00	0.00
9115.00	26000000.00
9041.00	41500000.00
9035.00	0.00
9020.00	7225000.00
9015.00	4900000.00
9000.00	19800000.00
9000.00	18400000.00
8915.00	4930000.00
8888.00	0.00
8885.00	0.00
8875.00	0.00
8870.00	4400000.00
8860.00	15200000.00
8850.00	2295000.00
8784.00	7466783.00
8765.00	565000.00
8760.00	0.00
8760.00	0.00
8760.00	6972054.00
8760.00	42500.00
8760.00	42500.00
8760.00	42500.00
8760.00	42500.00
8760.00	42500.00
8760.00	42500.00
8760.00	42500.00
8760.00	346883.00
8760.00	42500.00
8760.00	346883.00
8760.00	346883.00
8750.00	0.00
8747.00	32000000.00
8745.00	0.00
8735.00	1218248.00
8702.00	32000000.00
8670.00	0.00
8648.00	2356000.00
8646.00	11500000.00
8628.00	16250000.00
8625.00	16800000.00
8625.00	16800000.00
8625.00	0.00
8615.00	7550000.00
8615.00	7550000.00
8562.00	35000000.00
8542.00	26000000.00
8540.00	0.00
8525.00	0.00
8503.00	0.00
8495.00	4000000.00
8441.00	0.00
8420.00	0.00
8415.00	10000000.00
8406.00	8850000.00
8395.00	0.00
8395.00	5283970.00
8370.00	0.00
8342.00	5226000.00
8316.00	9250000.00
8300.00	19300000.00
8280.00	2989081.00
8270.00	7750000.00
8250.00	5800000.00
8221.00	27000000.00
8195.00	3477911.00
8180.00	16666667.00
8172.00	0.00
8170.00	7750000.00
8122.00	5000000.00
8100.00	0.00
8075.00	4000000.00
8010.00	2989081.00
8010.00	5000000.00
8000.00	6175000.00
7995.00	1050000.00
7995.00	3500000.00
7985.00	2989081.00
7959.00	22250000.00
7950.00	0.00
7950.00	11000000.00
7929.00	7466783.00
7912.00	9400000.00
7910.00	12799200.00
7850.00	0.00
7810.00	6865000.00
7805.00	6501010.00
7800.00	25500000.00
7800.00	10220000.00
7781.00	11400000.00
7725.00	10500000.00
7725.00	7900000.00
7711.00	0.00
7705.00	0.00
7700.00	0.00
7692.00	0.00
7686.00	6350000.00
7670.00	1313000.00
7625.00	4080000.00
7612.00	5797550.00
7610.00	32664000.00
7600.00	0.00
7580.00	8455851.00
7579.00	8800000.00
7560.00	4400000.00
7542.00	1200000.00
7535.00	4925000.00
7524.00	0.00
7500.00	8000000.00
7500.00	0.00
7500.00	0.00
7491.00	7900000.00
7485.00	21919.00
7450.00	2200000.00
7436.00	0.00
7420.00	0.00
7415.00	2861000.00
7415.00	5000000.00
7401.00	23500000.00
7400.00	0.00
7397.00	6430000.00
7383.00	15000000.00
7370.00	0.00
7356.00	0.00
7349.00	0.00
7348.00	0.00
7348.00	4500000.00
7340.00	8430003.00
7328.00	1313000.00
7315.00	9000000.00
7312.00	5250000.00
7285.00	2200000.00
7285.00	4512500.00
7275.00	0.00
7270.00	3150000.00
7240.00	5400000.00
7230.00	0.00
7229.00	999000.00
7220.00	16300000.00
7216.00	0.00
7206.00	9267000.00
7200.00	5000000.00
7200.00	0.00
7176.00	4000000.00
7174.00	7300000.00
7160.00	0.00
7155.00	4950000.00
7124.00	4700000.00
7120.00	9500000.00
7107.00	6400000.00
7107.00	0.00
7095.00	0.00
7082.00	0.00
7054.00	0.00
7036.00	0.00
7006.00	17000000.00
7000.00	3580000.00
6996.00	5750000.00
6993.00	0.00
6987.00	11500000.00
6985.00	5250000.00
6985.00	5650000.00
6985.00	0.00
6982.00	0.00
6971.00	10250000.00
6966.00	0.00
6960.00	4425000.00
6958.00	0.00
6936.00	8850000.00
6932.00	0.00
6915.00	3500000.00
6910.00	6000000.00
6901.00	16000000.00
6890.00	0.00
6865.00	9700000.00
6855.00	3625000.00
6850.00	0.00
6850.00	17300000.00
6839.00	0.00
6834.00	5050000.00
6822.00	0.00
6800.00	1550000.00
6794.00	22000000.00
6764.00	6190000.00
6710.00	10862500.00
6694.00	3321100.00
6690.00	16458214.00
6681.00	2291500.00
6675.00	4300000.00
6675.00	0.00
6664.00	25385186.00
6626.00	5800000.00
6605.00	4300000.00
6600.00	0.00
6560.00	0.00
6555.00	0.00
6545.00	8225000.00
6528.00	0.00
6510.00	9000000.00
6506.00	7750000.00
6498.00	0.00
6470.00	2512500.00
6444.00	10250000.00
6410.00	0.00
6401.00	8500000.00
6400.00	1545938.00
6375.00	0.00
6375.00	14025000.00
6370.00	235000.00
6366.00	2820000.00
6361.00	0.00
6346.00	0.00
6285.00	9200000.00
6275.00	3.00
6272.00	10800000.00
6248.00	2291500.00
6245.00	0.00
6240.00	2360000.00
6233.00	0.00
6225.00	0.00
6225.00	0.00
6193.00	9811125.00
6184.00	2650000.00
6171.00	1800000.00
6160.00	0.00
6148.00	1800000.00
6144.00	23000000.00
6135.00	3530000.00
6092.00	1519619.00
6084.00	0.00
6084.00	5600000.00
6078.00	7900000.00
6048.00	6000000.00
6024.00	0.00
6024.00	8500000.00
6020.00	0.00
6015.00	3450000.00
6000.00	0.00
6000.00	7200000.00
6000.00	0.00
6000.00	515714.00
5989.00	8150000.00
5980.00	0.00
5980.00	4250000.00
5970.00	4500000.00
5960.00	0.00
5960.00	13084250.00
5952.00	6415000.00
5930.00	0.00
5925.00	14000000.00
5925.00	0.00
5913.00	0.00
5913.00	4500000.00
5913.00	12800000.00
5896.00	0.00
5870.00	4650000.00
5850.00	0.00
5845.00	0.00
5845.00	8425000.00
5840.00	4770311.00
